CountyName	DwellingTypeDescr	Year_of_Construction	TypeofRating	EnergyRating	BerRating	GroundFloorArea(sq m)	UValueWall	UValueRoof	UValueFloor	UValueWindow	UvalueDoor	WallArea	RoofArea	FloorArea	WindowArea	DoorArea	NoStoreys	CO2Rating	MainSpaceHeatingFuel	MainWaterHeatingFuel	HSMainSystemEfficiency	MultiDwellingMPRN	TGDLEdition	MPCDERValue	HSEffAdjFactor	HSSupplHeatFraction	HSSupplSystemEff	WHMainSystemEff	WHEffAdjFactor	SupplSHFuel	SupplWHFuel	SHRenewableResources	WHRenewableResources	NoOfChimneys	NoOfOpenFlues	NoOfFansAndVents	NoOfFluelessGasFires	DraftLobby	VentilationMethod	FanPowerManuDeclaredValue	HeatExchangerEff	StructureType	SuspendedWoodenFloor	PercentageDraughtStripped	NoOfSidesSheltered	PermeabilityTest	PermeabilityTestResult	TempAdjustment	HeatSystemControlCat	HeatSystemResponseCat	NoCentralHeatingPumps	CHBoilerThermostatControlled	NoOilBoilerHeatingPumps	OBBoilerThermostatControlled	OBPumpInsideDwelling	NoGasBoilerHeatingPumps	WarmAirHeatingSystem	UndergroundHeating	GroundFloorUValue	DistributionLosses	StorageLosses	ManuLossFactorAvail	SolarHotWaterHeating	ElecImmersionInSummer	CombiBoiler	KeepHotFacility	WaterStorageVolume	DeclaredLossFactor	TempFactorUnadj	TempFactorMultiplier	InsulationType	InsulationThickness	PrimaryCircuitLoss	CombiBoilerAddLoss	ElecConsumpKeepHot	ApertureArea	ZeroLossCollectorEff	CollectorHeatLossCoEff	AnnualSolarRadiation	OvershadingFactor	CylinderStat	SolarStorageVolume	VolumeOfPreHeatStore	CombinedCylinder	ElectricityConsumption	SWHPumpSolarPowered	ChargingBasisHeatConsumed	gsdHSSupplHeatFraction	gsdHSSupplSystemEff	DistLossFactor	CHPUnitHeatFraction	CHPSystemType	CHPElecEff	CHPHeatEff	CHPFuelType	SupplHSFuelTypeID	gsdSHRenewableResources	gsdWHRenewableResources	SolarHeatFraction	DeliveredLightingEnergy	DeliveredEnergyPumpsFans	DeliveredEnergyMainWater	DeliveredEnergyMainSpace	PrimaryEnergyLighting	PrimaryEnergyPumpsFans	PrimaryEnergyMainWater	PrimaryEnergyMainSpace	CO2Lighting	CO2PumpsFans	CO2MainWater	CO2MainSpace	GroundFloorArea	GroundFloorHeight	FirstFloorArea	FirstFloorHeight	SecondFloorArea	SecondFloorHeight	ThirdFloorArea	ThirdFloorHeight	ThermalBridgingFactor	ThermalMassCategory	PredominantRoofTypeArea	PredominantRoofType	LowEnergyLightingPercent	TotalDeliveredEnergy	DeliveredEnergySecondarySpace	DeliveredEnergySupplementaryWater	LivingAreaPercent	CO2SecondarySpace	CO2SupplementaryWater	PrimaryEnergySecondarySpace	PrimaryEnergySupplementaryWater	HESSchemeUpgrade	RoomInRoofArea	PurposeOfRating	DateOfAssessment	FirstEnergyTypeId	FirstEnergyType_Description	FirstEnerProdComment	FirstEnerProdDelivered	FirstPartLTotalContribution	FirstEnerProdConvFactor	FirstEnerProdCO2EmissionFactor	FirstEnerConsumedComment	FirstEnerConsumedDelivered	FirstEnerConsumedConvFactor	FirstEnerConsumedCO2EmissionFactor	SecondEnergyTypeId	SecondEnergyType_Description	SecondEnerProdComment	SecondEnerProdDelivered	SecondPartLTotalContribution	SecondEnerProdConvFactor	SecondEnerProdCO2EmissionFactor	SecondEnerConsumedComment	SecondEnerConsumedDelivered	SecondEnerConsumedConvFactor	SecondEnerConsumedCO2EmissionFactor	ThirdEnergyTypeId	ThirdEnergyType_Description	ThirdEnerProdComment	ThirdEnerProdDelivered	ThirdPartLTotalContribution	ThirdEnerProdConvFactor	ThirdEnerProdCO2EmissionFactor	ThirdEnerConsumedComment	ThirdEnerConsumedDelivered	ThirdEnerConsumedConvFactor	ThirdEnerConsumedCO2EmissionFactor	FirstBoilerFuelType	FirstHeatGenPlantEff	FirstPercentageHeat	SecondBoilerFuelType	SecondHeatGenPlantEff	SecondPercentageHeat	ThirdBoilerFuelType	ThirdHeatGenPlantEff	ThirdPercentageHeat	SolarSpaceHeatingSystem	TotalPrimaryEnergyFact	TotalCO2Emissions	FirstWallType_Description	FirstWallDescription	FirstWallArea	FirstWallUValue	FirstWallIsSemiExposed	FirstWallAgeBandId	FirstWallTypeId	SecondWallType_Description	SecondWallDescription	SecondWallArea	SecondWallUValue	SecondWallIsSemiExposed	SecondWallAgeBandId	SecondWallTypeId	ThirdWallType_Description	ThirdWallDescription	ThirdWallArea	ThirdWallUValue	ThirdWallIsSemiExposed	ThirdWallAgeBandId	ThirdWallTypeId	SA_Code	prob_smarea_error_0corr	prob_smarea_error_100corr	RER	RenewEPnren	RenewEPren	CPC	EPC
Cork City	Mid-terrace house	1888	Existing       	D2	262.3	39.77	0.6	0.47	0.61	3.1	3.0	23.58	39.77	39.77	5.33	3.49	1	55.75	Mains Gas                     	Mains Gas                     	91.2	NO	0	43.89	0.95	0.1	30.0	91.2	0.95	8	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	0	NO 	NO 	0	193.713	YES	NO 	NO 	NO 	None                          	None                          	110	0.0	0.6	0.9	Factory Insulated             	40	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													269.207	130.0	2214.636	4718.945	651.48	314.6	2436.1	5190.84	141.064	68.12	449.571	957.946	39.77	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	33.6	Pitch Roof-Insul.on Ceiling   	60.0		1532.183		38.5718	600.616		1838.62	0.0	0	0.0	Grant Support	Oct 30 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		23.58	0.6	No	1	5															48037001	4.018979e-06	0.0025					
Co. Monaghan	Top-floor apartment	1980	Existing       	G 	469.02	73.51	1.1	0.49	0.8	2.8	3.0	94.58	73.51	14.55	3.61	1.85	1	101.56	Electricity                   	Electricity                   	100.0	NO	0	70.87	1.0	0.1	100.0	100.0	1.0	28	1	2	2	0	0	1	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	4	0	NO 	0	NO 	NO 	0	NO 	NO 	0	0.0	NO 	YES	NO 	NO 	None                          	None                          	0	0.0	0.0	0.0	None                          	0	Electric immersion heater     	0	0						NO 			NO 		NO 	NO 													427.562	0.0	1811.832	12839.99	1034.7	0.0	3768.61	26707.18	224.042	0.0	741.039	5251.556	73.51	2.49	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	73.51	Flat Roof                     	100.0		1426.663		49.9116	583.505		2967.46	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		94.58	1.1	No	6	4															177006002	0.000148323688	0.0025					
Co. Cork	Semi-detached house	1900	Existing       	G 	693.24	101.03	2.1	2.3	0.94	4.96	0.0	121.25	70.58	70.58	14.06	0.0	2	179.8	Heating Oil                   	Heating Oil                   	65.0	NO	0	63.36	0.95	0.1	30.0	65.0	0.95	15	1	2	2	2	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	335.929	YES	NO 	NO 	NO 	None                          	None                          	100	0.0	0.6	1.17	Loose Jacket                  	10	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													932.636	299.0	8971.1	42313.291	2256.98	723.58	9868.21	46544.62	488.701	156.676	2440.139	11509.215	70.58	2.1	30.45	2.72	0.0	0.0	0.0	0.0	0.15	High                	40.13	Flat Roof                     	0.0		9677.209		10.7592	3570.89		10644.93	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone		121.25	2.1	No	2	1															47060008	0.088309239472	0.088309239472					
Co. Mayo	Semi-detached house	1980	Existing       	C2	178.51	84.76	0.33	0.15	0.64	2.7	3.0	81.73	50.15	47.86	8.72	3.62	2	46.22	Heating Oil                   	Heating Oil                   	92.8	NO	0	39.84	1.0	0.1	30.0	92.8	1.0	15	1	2	2	1	1	5	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	300.292	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													434.298	230.0	3186.109	6778.018	1051.0	556.6	3504.72	7455.82	227.572	120.52	866.622	1843.621	47.86	2.47	36.9	2.34	0.0	0.0	0.0	0.0	0.15	Medium-high         	33.58	Pitch Roof-Insul.on Ceiling   	100.0		2329.627		16.7296	859.632		2562.59	0.0	0	0.0	Grant Support	Nov  8 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - EPS Board 50mm p	61.59	0.32	No	6	5	Timber Frame	Knee Wall 1st Floor Cellouse F	20.14	0.37	Yes	6.0	8.0								157031003	0.001018081438	0.0025					
Co. Cork	Detached house	1976	Existing       	C1	152.02	207.79	0.21	0.15	0.53	2.76	2.9	184.54	112.32	112.15	43.93	1.83	2	36.77	Heating Oil                   	Heating Oil                   	79.0	NO	0	36.24	0.95	0.1	60.0	79.0	0.95	5	28	2	2	1	1	1	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	YES	0	NO 	NO 	0	529.98	YES	NO 	YES	YES	None                          	None                          	350	0.0	0.6	1.3	Factory Insulated             	35	Boiler with uninsulated primar	0	0	4.652	0.734	1.529	1021.0	1.0	YES	175.0		YES	75.0	NO 	NO 													1488.983	374.0	3120.755	18009.927	3603.34	905.08	3432.83	19810.92	780.227	195.976	848.845	4898.7	112.15	2.51	95.64	2.41	0.0	0.0	0.0	0.0	0.15	Medium              	61.87	Pitch Roof-Insul.on Ceiling   	40.0	26025.152	2520.545	510.942	10.4865	685.588	208.975	2772.6	1062.76	1	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	Cavity wall with external wall	90.19	0.18	No	5	4	300mm Cavity	1998 extension with external w	69.6	0.18	No	8.0	4.0	300mm Cavity	2010 extension	24.75	0.37	No	10.0	4.0	47200004	0.088309239472	0.088309239472					
Co. Sligo	End of terrace house	1977	Existing       	C3	208.04	152.91	0.48	0.83	0.63	1.52	2.45	121.83	112.56	112.53	14.14	9.38	2	52.61	Heating Oil                   	Heating Oil                   	94.8	NO	0	36.76	0.95	0.1	55.0	94.8	0.95	8	1	2	2	1	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	94	3	NO	0.0	0.0	2	1	2	YES	1	YES	NO 	0	NO 	NO 	0	438.686	YES	NO 	NO 	NO 	None                          	None                          	111	0.0	0.6	1.17	Factory Insulated             	25	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1177.508	360.0	5413.564	16772.264	2849.57	871.2	5954.92	18449.49	617.014	188.64	1472.489	4562.056	112.53	2.33	40.38	2.66	0.0	0.0	0.0	0.0	0.15	Medium-high         	40.38	Pitch Roof-Insul.on Ceiling   	53.0		3072.408		17.5724	1204.384		3686.89	0.0	0	0.0	Social housing letting	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	ORIGINAL CAVITY WALLS WITH 50m	66.772	0.48	No	5	5	300mm Filled Cavity	EXT SIDE CAVITY WALLS WITH 50m	34.092	0.48	No	5.0	5.0	300mm Filled Cavity	EXT REAR CAVITY WALLS WITH 50m	20.966	0.48	No	5.0	5.0	207082004	5.5623e-07	0.0025					
Co. Donegal	Detached house	1900	Existing       	G 	690.25	77.68	2.12	2.3	0.86	3.28	3.0	99.86	79.45	79.45	7.75	3.85	1	172.99	Heating Oil                   	Heating Oil                   	65.0	NO	0	77.34	0.95	0.1	50.0	65.0	0.95	15	28	2	2	1	0	1	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	YES	0	NO 	NO 	0	284.342	YES	NO 	NO 	YES	None                          	None                          	90	0.0	0.6	1.3	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													799.062	299.0	7467.409	30377.827	1933.73	723.58	8214.15	33415.61	418.708	156.676	2031.135	8262.769	77.68	2.62	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	59.71	Pitch Roof-Insul.on Ceiling   	0.0	45403.275	4189.155	2270.822	18.5376	1545.798	928.766	4608.07	4723.31	0	0.0	Sale	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone	main walls	76.9	2.1	No	2	1	Solid Mass Concrete	extension at rear	22.96	2.2	No	4.0	6.0								57114006	0.08932461873	0.08932461873					
Dublin 22	Semi-detached house	1973	Existing       	E1	321.07	137.24	2.13	0.44	0.56	3.13	3.15	106.34	80.62	80.0	28.23	1.7	2	60.04	Mains Gas                     	Mains Gas                     	74.4	NO	0	32.76	0.95	0.1	20.0	74.4	0.95	2	1	2	2	1	0	1	0	YES	Natural vent.	0	0	Masonry                       	Yes (Unsealed)                	100	3	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	409.363	YES	NO 	NO 	NO 	None                          	None                          	95	0.0	0.6	1.17	Loose Jacket                  	60	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1225.277	175.0	6641.164	21764.627	2965.17	423.5	7305.28	23941.09	642.045	91.7	1348.156	4418.219	80.0	2.4	57.24	2.68	0.0	0.0	0.0	0.0	0.15	Medium              	57.24	Pitch Roof-Insul.on Ceiling   	0.0		8571.891		19.8047	1740.094		9429.08	0.0	0	0.0	Grant Support	Nov 14 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Concrete Hollow Block	MAIN HOUSE WALL 320MM THICK	90.96	2.4	No	5	7	Concrete Hollow Block	REAR SUNROOM WALLS	12.98	0.55	No	9.0	7.0	Concrete Hollow Block	PORCH WALLS 260MM THICK	2.4	0.6	No	7.0	7.0	267050014	5.5623e-07	0.0025					
Co. Meath	End of terrace house	2013	Final          	A3	55.88	132.3	0.17	0.1	0.09	1.11	1.5	129.02	52.54	51.3	21.36	1.9	3	10.82	Mains Gas                     	Mains Gas                     	90.4	NO	3	21.78	1.02	0.1	90.0	90.4	1.02	2	1	2	2	0	0	5	1	NO	Natural vent.	0	87	Masonry                       	No                            	100	3	YES	0.2	-0.15	3	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	399.809	YES	NO 	YES	NO 	None                          	None                          	400	1.93	0.6	0.9	Factory Insulated             	100	Boiler with insulated primary 	0	0	4.66	0.79	3.94	1074.0	1.0	YES	150.0		YES	75.0	NO 	NO 													615.058	250.0	1955.364	2564.282	1488.44	605.0	2150.9	2820.71	322.29	131.0	396.939	520.549	51.3	2.48	51.3	2.7	29.7	2.4	0.0	0.0	0.06	Medium              	21.6	Pitch Roof-Insul.on Ceiling   	100.0		297.664		13.4543	60.426		327.43	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Exposed block walls	106.22	0.18	No	0	5	Timber Frame	Semi exposed attic stud walls	22.8	0.13	No	0.0	8.0								167042005/01	5.5623e-07	0.0025				0.36	0.388
Dublin 3	Mid-floor apartment	2005	Existing       	B3	144.68	79.96	0.36	0.0	0.0	1.9	1.4	31.99	0.0	0.0	12.66	1.85	2	31.33	Electricity                   	Electricity                   	100.0	NO	0	45.8	1.0	0.0	0.0	100.0	1.0	1	1	2	2	0	0	1	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.0	3	4	0	NO 	0	NO 	NO 	0	NO 	NO 	0	289.576	YES	NO 	NO 	NO 	None                          	None                          	101	0.0	0.6	1.0	Factory Insulated             	50	Electric immersion heater     	0	0						NO 			NO 		NO 	NO 													447.802	0.0	2659.649	2381.053	1083.68	0.0	5532.07	4952.59	234.648	0.0	1087.796	973.851	56.45	2.4	23.51	2.7	0.0	0.0	0.0	0.0	0.15	Medium              			80.0				31.2656			0.0	0.0	0	0.0	Private Letting	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone	External walls	22.59	0.37	No	10	1	Stone	wall to corrior	9.4	0.322	Yes	10.0	1.0								268059008	0.017443147236	0.017443147236					
Dublin 12	Mid-terrace house	1960	Existing       	D2	288.9	69.36	2.2	0.26	0.61	2.0	0.0	36.93	34.68	34.68	11.02	0.0	2	54.02	Mains Gas                     	Mains Gas                     	73.0	NO	0	38.95	0.95	0.0	0.0	73.0	0.95	1	1	2	2	0	0	5	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	265.236	YES	NO 	NO 	NO 	None                          	None                          	109	0.0	0.6	1.0	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													420.517	214.0	8286.645	8534.191	1017.65	517.88	9115.31	9387.61	220.351	112.136	1682.189	1732.441	34.68	2.65	34.68	2.4	0.0	0.0	0.0	0.0	0.15	Medium              	34.68	Pitch Roof-Insul.on Ceiling   	70.0				38.466			0.0	0.0	0	0.0	Sale	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Solid Mass Concrete		36.93	2.2	No	4	6															268094001	0.0025	0.0025					
Co. Meath	Mid-terrace house	2013	Final          	A3	50.23	132.3	0.16	0.1	0.09	1.13	1.5	60.87	52.54	51.3	19.08	1.9	3	9.78	Mains Gas                     	Mains Gas                     	90.4	NO	3	19.51	1.02	0.1	90.0	90.4	1.02	2	1	2	2	0	0	5	1	NO	Natural vent.	0	66	Masonry                       	No                            	100	3	YES	0.25	-0.15	3	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	399.809	YES	YES	YES	NO 	None                          	None                          	400	2.95	0.6	0.9	Factory Insulated             	100	Boiler with insulated primary 	0	0	4.64	0.79	3.94	1074.0	1.0	YES	150.0		YES	75.0	NO 	NO 													629.537	250.0	1983.591	1900.527	1523.48	605.0	2181.95	2090.58	329.877	131.0	402.669	385.807	51.3	2.48	51.3	2.7	29.7	2.4	0.0	0.0	0.06	Medium              	21.6	Pitch Roof-Insul.on Ceiling   	100.0		222.018		13.4543	45.07		244.22	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Exposed block walls	39.93	0.18	No	0	5	Timber Frame	Semi exposed attic stud walls	20.94	0.13	No	0.0	8.0								167042005/01	5.5623e-07	0.0025				0.366	0.39
Cork City	Mid-terrace house	1888	Existing       	D2	260.33	39.77	0.6	0.43	0.61	3.1	3.0	23.58	39.77	39.77	5.33	3.49	1	55.32	Mains Gas                     	Mains Gas                     	91.2	NO	0	43.92	0.95	0.1	30.0	91.2	0.95	8	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	0	NO 	NO 	0	193.713	YES	NO 	NO 	NO 	None                          	None                          	110	0.0	0.6	0.9	Factory Insulated             	40	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													269.207	130.0	2214.636	4666.145	651.48	314.6	2436.1	5132.76	141.064	68.12	449.571	947.227	39.77	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	34.19	Pitch Roof-Insul.on Ceiling   	60.0		1515.242		38.8987	593.975		1818.29	0.0	0	0.0	Grant Support	Oct 30 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		23.58	0.6	No	1	5															48037001	0.000138993191	0.0025					
Co. Kerry	Ground-floor apartment	2005	Existing       	C2	187.85	70.0	0.37	0.0	0.26	2.2	3.0	16.7	0.0	70.0	7.4	1.81	1	40.67	Electricity                   	Electricity                   	100.0	NO	1	54.07	1.0	0.0	0.0	100.0	1.0	1	1	2	2	0	0	5	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	0	NO 	0	NO 	NO 	0	NO 	NO 	0	266.731	YES	NO 	NO 	NO 	None                          	None                          	117	0.0	0.6	1.0	Factory Insulated             	30	Electric immersion heater     	0	0						NO 			NO 		NO 	NO 													713.178	0.0	2705.269	2786.726	1725.89	0.0	5626.96	5796.39	373.705	0.0	1106.455	1139.771	70.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			0.0				27.8571			0.0	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		16.7	0.37	No	10	4															77065009	1.737855e-06	0.0025					
Dublin 14	Semi-detached house	1952	Existing       	G 	491.49	93.9	2.4	1.28	0.76	2.1	0.0	76.3	63.9	63.9	20.74	0.0	2	103.01	Mains Gas                     	Mains Gas                     	63.0	NO	0	47.02	0.95	0.1	30.0	63.0	0.95	8	28	2	2	1	1	5	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	320.478	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.3	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													419.264	214.0	4630.536	27105.455	1014.62	517.88	5093.59	29816.0	219.694	112.136	939.999	5502.407	63.9	2.4	30.0	2.65	0.0	0.0	0.0	0.0	0.15	Medium              	33.9	Flat Roof                     	100.0	39586.332	6026.0	1191.077	15.8147	2362.192	487.15	7231.2	2477.44	0	0.0	Grant Support	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Concrete Hollow Block		76.3	2.4	No	4	7															267057003	4.4491284e-05	0.0025					
Co. Kerry	Detached house	1985	Existing       	C2	198.43	120.0	0.27	0.2	0.57	2.8	3.0	91.0	120.0	120.0	18.55	4.75	1	44.86	Heating Oil                   	Heating Oil                   	81.7	NO	0	40.47	0.95	0.1	74.0	81.7	0.95	11	1	2	2	0	2	1	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	375.387	YES	NO 	YES	NO 	None                          	None                          	300	0.0	0.6	0.9	Factory Insulated             	40	Boiler with uninsulated primar	0	0	2.791	0.734	1.529	1074.0	1.0	YES	150.0		YES	75.0	NO 	NO 													553.202	374.0	2745.818	15094.8	1338.75	905.08	3020.4	16604.28	289.878	195.976	746.862	4105.786	120.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.15	High                	120.0	Pitch Roof-Insul.on Ceiling   	100.0		1766.891		15.6667	44.172		1943.58	0.0	1	0.0	Grant Support	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		91.0	0.27	No	9	5															77122002	0.088309239472	0.088309239472					
Co. Mayo	End of terrace house	1980	Existing       	E1	330.67	97.86	0.41	0.13	0.64	4.8	3.02	112.74	48.93	48.93	9.83	4.63	2	73.37	Electricity                   	Electricity                   	100.0	NO	0	68.06	1.0	0.1	65.0	100.0	1.0	15	1	2	2	1	1	1	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.3	2	1	0	NO 	0	NO 	NO 	0	NO 	NO 	0	329.117	YES	NO 	NO 	NO 	None                          	None                          	210	0.0	0.6	1.0	Loose Jacket                  	30	Electric immersion heater     	0	0						NO 			NO 		NO 	NO 													1079.004	0.0	4600.409	9002.197	2611.19	0.0	9568.85	18724.57	565.398	0.0	1881.567	3681.899	48.93	2.43	48.93	2.73	0.0	0.0	0.0	0.0	0.15	Medium-high         	48.926	Pitch Roof-Insul.on Ceiling   	0.0		1322.636		14.1835	488.053		1454.9	0.0	0	0.0	Grant Support	Nov  2 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	50mm EPS Bonded Bead added	112.744	0.41	No	6	5															157014004	8.228073e-06	0.0025					
Co. Mayo	Semi-detached house	1980	Existing       	C1	155.24	109.63	0.33	0.14	0.48	1.64	3.0	88.14	73.37	72.73	11.55	3.62	2	40.18	Heating Oil                   	Heating Oil                   	94.1	NO	0	38.18	1.0	0.1	30.0	94.1	1.0	15	1	2	2	1	1	7	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	354.038	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													558.88	230.0	3553.591	7551.273	1352.49	556.6	3908.95	8306.4	292.853	120.52	966.577	2053.946	72.73	2.47	36.9	2.55	0.0	0.0	0.0	0.0	0.15	Medium-high         	60.03	Pitch Roof-Insul.on Ceiling   	100.0		2631.755		13.1716	971.118		2894.93	0.0	0	0.0	Grant Support	Nov  1 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - EPS Board 50mm p	61.81	0.32	No	6	5	Timber Frame	Knee Wall 1st Floor Cellouse F	26.33	0.37	Yes	6.0	8.0								157031003	7.2453471e-05	0.0025					
